source,path_hash,ratio_kbd,ratio_vorbis,ratio_max
library,733f4a68377b83a9,1.1394,1.2785,1.2785
library,73652f0d7607fe18,1.2179,1.2308,1.2308
library,7376eec709aac2f7,1.3218,1.2000,1.3218
library,73bc962d57740bfd,1.1220,1.2250,1.2250
library,73cd09e7473e4d70,1.2096,1.2469,1.2469
library,73e925e382767826,1.3750,1.2096,1.3750
library,742006a891a2044e,1.2892,1.2121,1.2892
library,74a8c3a4137b14b6,1.1758,1.3171,1.3171
library,74d9f747f8f9aa0a,1.1264,1.2414,1.2414
library,751444d22d6a91b5,1.2346,1.2439,1.2439
library,7558f7e64e9d8825,1.1445,1.2184,1.2184
library,756958084d711879,1.1951,1.1341,1.1951
library,76096950f053d8bc,1.3000,1.2848,1.3000
library,763cce4b9dded9eb,1.1463,1.2250,1.2250
library,76801b3950decfe7,1.4691,1.1515,1.4691
library,7686d6bd5708fac8,1.1852,1.1807,1.1852
library,7688b830ce790a85,1.2615,1.2923,1.2923
library,7699c71f5cd45511,1.2048,1.1500,1.2048
library,77998dda253dd629,1.2299,1.1271,1.2299
library,779f6b02cfa28d64,1.3043,1.3252,1.3252
library,77a0542ef87dfc14,1.2073,1.0843,1.2073
library,78088166ae1e63d9,1.1479,1.2093,1.2093
library,782b9deb67a4634c,1.1879,1.0843,1.1879
library,787b30c9336d6788,1.1625,1.1975,1.1975
library,7886dcfff2d687f6,1.2439,1.2500,1.2500
library,78affdc232054b56,1.2022,1.2198,1.2198
library,78dc8cb45de9f75c,1.2118,1.2099,1.2118
library,79a8f9115e96fe89,1.3029,1.2247,1.3029
library,79b50358aed520f9,1.2216,1.2485,1.2485
library,79c1b38772613a64,1.3684,1.2410,1.3684
library,79fd86f54a2e83f3,1.2716,1.2683,1.2716
library,7b8aaf785355c8ae,1.3735,1.1813,1.3735
library,7d1f72628569a69c,1.1842,1.2375,1.2375
library,7d409c647917da9e,1.1902,1.2073,1.2073
library,7d8a517e30aa20ed,1.2547,1.1829,1.2547
library,7dd8b8fefd0a20ce,1.2262,1.2588,1.2588
library,7e6afce9f6788580,1.1786,1.3176,1.3176
library,7eb2609c63087cf5,1.1847,1.1950,1.1950
library,7f9a61dbef0418da,1.3250,1.3012,1.3250
library,7fb0accf42527e28,1.2976,1.2651,1.2976
library,7ffd42c121d6d6d4,1.3296,1.1685,1.3296
library,8061ecfcca1ba24c,1.2970,1.2025,1.2970
library,80f06d08fd912b65,1.1625,1.2405,1.2405
library,810b6704173a3a7a,1.3457,1.1905,1.3457
library,8113a1126618f864,1.1553,1.1975,1.1975
library,8198de6f835f9e09,1.1585,1.2048,1.2048
library,81abf18c0541a696,1.2638,1.2865,1.2865
library,8226cd597bda42c8,1.1882,1.1124,1.1882
library,823d2c6d8922b3b3,1.3290,1.1667,1.3290
library,8267f850e1f6bad6,1.2404,1.1827,1.2404
library,82a832559ec2adf1,1.1341,1.2500,1.2500
library,82b973ce4aca515a,1.2410,1.2000,1.2410
library,8309f292c2366f96,1.2376,1.2527,1.2527
library,8335d78710f3f9d0,1.3250,1.1243,1.3250
