arm,file,seam,seam_hz,cutoff_hz
aac_ff320,035-16-Slow-Air-In-Dropped-D.flac,5.7187,3370,21016
aac_ff320,036-08-Nicolas-Comment-Amaurose.flac,9.4985,7160,21253
aac_ff320,037-02-Super-Cayor-De-Dakar-Emboutaieillage.flac,5.9687,5965,22050
aac_ff320,038-11-Red-Hot-Chili-Peppers-This-velvet-glove.flac,5.3455,6072,22050
aac_ff320,039-13-Kat-Onoma-Change-blues.flac,11.0463,3025,20403
vorbis_q8,000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,7.4629,4177,15299
vorbis_q8,001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,9.1305,3575,19154
vorbis_q8,002-03-Hraach-Let-it-go.flac,6.7457,12177,20543
vorbis_q8,003-01-Thor-Dari-lullaby.flac,6.9274,3531,22050
vorbis_q8,004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,9.1045,3994,21189
vorbis_q8,005-17-Los-Seven-Del-Swing-Celoso.flac,6.0865,5082,17560
vorbis_q8,006-09-Mahmoud-Ahmed-Tezeta.flac,7.7596,6137,13932
vorbis_q8,007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,13.8140,15762,18325
vorbis_q8,008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,6.1143,3618,16860
vorbis_q8,009-03-Ilya-Beshevli-To-solitude.flac,26.0060,3639,20015
vorbis_q8,010-06-Jon-Hassell-These-times.flac,16.4535,3004,19186
vorbis_q8,011-07-Ensemble-National-des-Percussions-de-Guin-e-K.flac,4.9489,3973,20726
vorbis_q8,012-07-A-La-Carte-Brass-And-Percussion-Papa-was-a-ro.flac,19.9159,5879,20144
vorbis_q8,013-22-Roswell-Sacred-Harp-Quartet-Weeping-mary.flac,22.2302,3833,21878
vorbis_q8,014-26-Dock-Walsh-Bathe-in-that-beautiful-pool.flac,8.5287,6589,10670
vorbis_q8,015-08-Jos-Gonz-lez-Vissel.flac,23.9256,3004,21673
vorbis_q8,016-03-Memory-Tapes-Green-knight.flac,4.8243,5663,21641
vorbis_q8,017-13-Cafe-Del-Mar-Submariner.flac,7.8631,3553,21566
vorbis_q8,018-04-Bag-o-wire-Resovoir.flac,5.9927,3219,21275
vorbis_q8,019-04-Kohi-Jadu.flac,13.4508,3187,18659
vorbis_q8,020-06-Bola-Tigantabame.flac,4.4038,5609,18648
vorbis_q8,021-13-Colombiafrica-The-Mystic-Orchestra-Rey-de-roc.flac,5.5094,3768,19401
vorbis_q8,022-17-Michel-Legrand-It-s-good-to-be-alive-the-chas.flac,9.1389,3359,19294
vorbis_q8,023-01-Yusef-Lateef-Buddy-and-lou.flac,5.9154,9991,20489
vorbis_q8,024-15-Jordi-Savall-Concert-li-la-rougeville-gigue.flac,9.0493,3736,21845
vorbis_q8,025-07-Bolalar-Lola.flac,5.5458,8280,20898
vorbis_q8,026-06-Oumou-Dioubat-Siyala.flac,6.4008,11585,20123
vorbis_q8,027-01-Dimlite-Kitty-Cradle-Fog.flac,11.0833,4436,22050
vorbis_q8,028-04-Lisu-Yue-phue-alcool-de-ma-s.flac,23.1896,3542,19671
vorbis_q8,029-05-Kuusow-Kurtunwaarey-Amin-Xaaji-Cusmaan-Cabdul.flac,9.6091,8936,18249
vorbis_q8,030-06-S-bastien-Tellier-Benny.flac,6.1070,3208,21264
vorbis_q8,031-07-Shkoon-Just-Emma-Id.flac,11.1867,13652,21899
vorbis_q8,032-05-2kilos-more-Cache-feu.flac,8.4358,5071,18002
vorbis_q8,033-01-Daylight-Rising.flac,5.6102,4005,20812
vorbis_q8,034-09-Snow-Ghosts-Bowline.flac,4.9107,7946,19488
vorbis_q8,035-16-Slow-Air-In-Dropped-D.flac,5.2551,3370,20780
vorbis_q8,036-08-Nicolas-Comment-Amaurose.flac,9.3035,7160,20823
vorbis_q8,037-02-Super-Cayor-De-Dakar-Emboutaieillage.flac,5.9515,5965,21835
vorbis_q8,038-11-Red-Hot-Chili-Peppers-This-velvet-glove.flac,5.0049,6072,20758
vorbis_q8,039-13-Kat-Onoma-Change-blues.flac,11.1261,3025,19574
