arm,file,geometry,ratio,offset
mp3_192,013-22-Roswell-Sacred-Harp-Quartet-Weeping-mary.flac,aac_2048,1.4524,472
mp3_192,014-26-Dock-Walsh-Bathe-in-that-beautiful-pool.flac,mp3_frame_1152,1.9583,287
mp3_192,014-26-Dock-Walsh-Bathe-in-that-beautiful-pool.flac,mp3_granule_576,2.0000,264
mp3_192,014-26-Dock-Walsh-Bathe-in-that-beautiful-pool.flac,aac_2048,1.4634,530
mp3_192,015-08-Jos-Gonz-lez-Vissel.flac,mp3_frame_1152,1.9583,287
mp3_192,015-08-Jos-Gonz-lez-Vissel.flac,mp3_granule_576,2.4545,152
mp3_192,015-08-Jos-Gonz-lez-Vissel.flac,aac_2048,1.5366,422
mp3_192,016-03-Memory-Tapes-Green-knight.flac,mp3_frame_1152,1.8750,287
mp3_192,016-03-Memory-Tapes-Green-knight.flac,mp3_granule_576,1.6667,268
mp3_192,016-03-Memory-Tapes-Green-knight.flac,aac_2048,1.5238,646
mp3_192,017-13-Cafe-Del-Mar-Submariner.flac,mp3_frame_1152,2.0000,287
mp3_192,017-13-Cafe-Del-Mar-Submariner.flac,mp3_granule_576,1.9167,227
mp3_192,017-13-Cafe-Del-Mar-Submariner.flac,aac_2048,1.5952,574
mp3_192,018-04-Bag-o-wire-Resovoir.flac,mp3_frame_1152,1.7826,106
mp3_192,018-04-Bag-o-wire-Resovoir.flac,mp3_granule_576,2.0000,164
mp3_192,018-04-Bag-o-wire-Resovoir.flac,aac_2048,1.5122,595
mp3_192,019-04-Kohi-Jadu.flac,mp3_frame_1152,1.5185,280
mp3_192,019-04-Kohi-Jadu.flac,mp3_granule_576,2.0000,49
mp3_192,019-04-Kohi-Jadu.flac,aac_2048,1.4545,926
mp3_192,020-06-Bola-Tigantabame.flac,mp3_frame_1152,1.7308,262
