source,arm,ratio,offset,hypothesis,lattice,temporal,stereo
mss2003-12-31.flac16f__mss2003-12-31d1t02.flac,coreaudio_256,1.2558,408,kbd,1.0293,0.5746,7.6556
mss2003-12-31.flac16f__mss2003-12-31d1t02.flac,coreaudio_320,1.2561,492,vorbis,1.0356,0.4266,1.5774
oar2006-01-14.mix.flac16__oar2006-01-14d1t01.mix.flac,genuine,1.3091,842,kbd,1.0386,0.5524,1.0000
oar2006-01-14.mix.flac16__oar2006-01-14d1t01.mix.flac,coreaudio_128,1.2600,674,kbd,1.0435,0.7562,16.6652
oar2006-01-14.mix.flac16__oar2006-01-14d1t01.mix.flac,coreaudio_256,1.3254,109,kbd,1.0322,0.5511,1.0000
oar2006-01-14.mix.flac16__oar2006-01-14d1t01.mix.flac,coreaudio_320,1.2892,150,kbd,1.0316,0.5169,1.0000
oar2006-01-14.mix.flac16__oar2006-01-14d1t02.mix.flac,genuine,1.2824,269,kbd,1.0321,0.3633,0.0000
oar2006-01-14.mix.flac16__oar2006-01-14d1t02.mix.flac,coreaudio_128,1.3125,272,kbd,1.0328,0.7162,10.1177
oar2006-01-14.mix.flac16__oar2006-01-14d1t02.mix.flac,coreaudio_256,1.2771,231,kbd,1.0425,0.3495,0.0000
oar2006-01-14.mix.flac16__oar2006-01-14d1t02.mix.flac,coreaudio_320,1.2500,725,vorbis,1.0391,0.3489,0.0000
oar2006-07-09__oar2006-07-09d1t01.flac,genuine,1.4146,4,kbd,1.0292,0.6290,1.0000
oar2006-07-09__oar2006-07-09d1t01.flac,coreaudio_128,2.2826,960,vorbis,1.0725,0.8081,1.0000
oar2006-07-09__oar2006-07-09d1t01.flac,coreaudio_256,1.3494,960,kbd,1.0372,0.7903,1.0000
oar2006-07-09__oar2006-07-09d1t01.flac,coreaudio_320,1.3291,908,kbd,1.0331,0.6061,1.0000
oar2006-07-09__oar2006-07-09d1t02.flac,genuine,1.2771,962,kbd,1.0294,0.3380,1.2792
oar2006-07-09__oar2006-07-09d1t02.flac,coreaudio_128,1.9242,960,kbd,1.0808,0.8085,17.7647
oar2006-07-09__oar2006-07-09d1t02.flac,coreaudio_256,1.3810,753,vorbis,1.0293,0.3265,11.9722
oar2006-07-09__oar2006-07-09d1t02.flac,coreaudio_320,1.3125,96,vorbis,1.0255,0.3278,1.3077
pattersonh2006-01-07.184.flac16__pattersonh2006-01-07d1t01.flac,genuine,1.3125,487,vorbis,1.0346,0.3869,1.0000
pattersonh2006-01-07.184.flac16__pattersonh2006-01-07d1t01.flac,coreaudio_128,1.2746,1007,vorbis,1.0403,0.8141,1.1491
pattersonh2006-01-07.184.flac16__pattersonh2006-01-07d1t01.flac,coreaudio_256,1.3171,398,kbd,1.0296,0.7656,1.1500
pattersonh2006-01-07.184.flac16__pattersonh2006-01-07d1t01.flac,coreaudio_320,1.3091,947,vorbis,1.0343,0.3909,1.0000
pattersonh2006-01-07.184.flac16__pattersonh2006-01-07d1t02.flac,genuine,1.2317,622,vorbis,1.0401,0.2111,1.0000
pattersonh2006-01-07.184.flac16__pattersonh2006-01-07d1t02.flac,coreaudio_128,1.4950,960,kbd,1.0745,0.6993,2.3722
pattersonh2006-01-07.184.flac16__pattersonh2006-01-07d1t02.flac,coreaudio_256,1.2174,275,vorbis,1.0353,0.4565,2.2668
pattersonh2006-01-07.184.flac16__pattersonh2006-01-07d1t02.flac,coreaudio_320,1.3012,914,vorbis,1.0334,0.2149,1.0000
ryanadams2006-10-17.sbd.flac16__ryanadams2006-10-17.sbd.d1t01.flac,genuine,1.2774,549,kbd,1.0375,0.1974,1.2292
ryanadams2006-10-17.sbd.flac16__ryanadams2006-10-17.sbd.d1t01.flac,coreaudio_128,1.6265,960,vorbis,1.0514,0.3846,4.4803
ryanadams2006-10-17.sbd.flac16__ryanadams2006-10-17.sbd.d1t01.flac,coreaudio_256,1.2763,608,vorbis,1.0267,0.3745,4.4092
ryanadams2006-10-17.sbd.flac16__ryanadams2006-10-17.sbd.d1t01.flac,coreaudio_320,1.2422,711,vorbis,1.0317,0.1876,1.2891
ryanadams2006-10-17.sbd.flac16__ryanadams2006-10-17.sbd.d1t02.flac,genuine,1.2857,410,kbd,1.0399,0.6004,0.0000
ryanadams2006-10-17.sbd.flac16__ryanadams2006-10-17.sbd.d1t02.flac,coreaudio_128,1.9149,960,vorbis,1.0616,0.5632,1.0000
ryanadams2006-10-17.sbd.flac16__ryanadams2006-10-17.sbd.d1t02.flac,coreaudio_256,1.2410,654,kbd,1.0313,0.5982,1.0000
ryanadams2006-10-17.sbd.flac16__ryanadams2006-10-17.sbd.d1t02.flac,coreaudio_320,1.2471,626,vorbis,1.0378,0.5935,0.0000
tlg2006-10-21.mk4v.flac16__tlg2006-10-21d1t01.flac,genuine,1.2469,227,vorbis,1.0445,0.4682,1.0000
tlg2006-10-21.mk4v.flac16__tlg2006-10-21d1t01.flac,coreaudio_128,1.2986,674,vorbis,1.0402,0.4346,2.0537
