arm,file,max_run,mean_run,max_run_rel,stereo_ratio,mono_gated
aac_ff320,036-08-Nicolas-Comment-Amaurose.flac,5.0000,1.4248,2.0000,0.0770,False
aac_ff320,037-02-Super-Cayor-De-Dakar-Emboutaieillage.flac,4.0000,1.0000,1.0000,0.0288,False
aac_ff320,038-11-Red-Hot-Chili-Peppers-This-velvet-glove.flac,0.0000,0.0000,0.0000,0.1092,False
aac_ff320,039-13-Kat-Onoma-Change-blues.flac,7.0000,2.4143,2.0000,0.2858,False
vorbis_q8,000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,nan,nan,nan,0.0000,True
vorbis_q8,001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,1.0000,22.6667,1.0000,0.7569,False
vorbis_q8,002-03-Hraach-Let-it-go.flac,3.0000,13.5357,3.0000,0.2810,False
vorbis_q8,003-01-Thor-Dari-lullaby.flac,5.0000,12.0556,5.0000,0.2999,False
vorbis_q8,004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,1.0000,3.9000,15.0000,0.6770,False
vorbis_q8,005-17-Los-Seven-Del-Swing-Celoso.flac,22.0000,17.8377,8.0000,0.0840,False
vorbis_q8,006-09-Mahmoud-Ahmed-Tezeta.flac,nan,nan,nan,0.0000,True
vorbis_q8,007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,1.0000,8.9444,34.5000,0.2784,False
vorbis_q8,008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,4.0000,23.9375,9.0000,0.3197,False
vorbis_q8,009-03-Ilya-Beshevli-To-solitude.flac,6.0000,7.5395,1.0000,1.3337,False
vorbis_q8,010-06-Jon-Hassell-These-times.flac,9.0000,1.2247,2.0000,3.0114,False
vorbis_q8,011-07-Ensemble-National-des-Percussions-de-Guin-e-K.flac,51.0000,2.3732,0.0000,1.1536,False
vorbis_q8,012-07-A-La-Carte-Brass-And-Percussion-Papa-was-a-ro.flac,2.0000,12.3000,30.0000,0.6894,False
