orig_idx,kind,is_transcode,src_rolloff,model_fp,is_stereo,side_mid_ratio,lr_corr,ro_mid,ro_side,side_to_mid_rolloff,holes_inband,flatness_inband,side_flatness_inband,terrace_peakfrac,preecho_pct,aliasing_corr,mp3_pattern
35,authentic,0,2692.6,1,1,0.071386,0.9339,1593.5,1615.0,1.0135,0.06944,0.165575,0.182206,0.16667,15.62,0.204,1
35,mp3_128,1,2692.6,1,1,0.071381,0.9339,1593.5,1593.5,1.0,0.06944,0.165729,0.186168,0.16667,46.88,0.3663,1
35,mp3_320,1,2692.6,1,1,0.071385,0.9339,1593.5,1615.0,1.0135,0.06944,0.165583,0.182331,0.16667,15.62,0.203,1
35,mp3_v0,1,2692.6,1,1,0.07139,0.9339,1593.5,1593.5,1.0,0.06944,0.165625,0.18261,0.16667,3.12,0.2428,1
36,authentic,0,4420.6,1,1,0.146674,0.7538,2713.2,3574.5,1.3175,0.0,0.078419,0.281024,0.15323,76.0,0.0252,0
36,mp3_128,1,4420.6,1,1,0.146859,0.7535,2670.1,3402.2,1.2742,0.0,0.081413,0.28891,0.14754,92.0,0.1111,0
36,mp3_320,1,4420.6,1,1,0.146671,0.7538,2691.7,3488.4,1.296,0.0,0.079672,0.283581,0.15447,80.0,0.0236,0
36,mp3_v0,1,4420.6,1,1,0.146678,0.7538,2691.7,3509.9,1.304,0.0,0.079693,0.28368,0.15447,84.0,0.0197,0
37,authentic,0,6894.4,1,1,0.013597,0.9734,9065.5,7019.8,0.7743,0.07637,0.072308,0.024286,0.18138,100.0,0.0582,0
37,mp3_128,1,6894.4,1,1,0.013589,0.9734,8979.3,6352.3,0.7074,0.06024,0.075091,0.024713,0.19036,100.0,0.0639,0
37,mp3_320,1,6894.4,1,1,0.013589,0.9734,9065.5,7041.4,0.7767,0.07637,0.072331,0.024853,0.18138,100.0,0.0598,0
37,mp3_v0,1,6894.4,1,1,0.013596,0.9734,9043.9,6955.2,0.769,0.07416,0.072858,0.025577,0.18182,100.0,0.0595,0
38,authentic,0,5506.9,1,0,0.0,1.0,4909.6,19724.4,4.0175,0.0,0.311144,0.190913,0.25664,0.0,0.1098,0
38,mp3_128,1,5506.9,1,0,0.0,1.0,4931.1,19552.1,3.9651,0.0,0.308738,0.207699,0.25551,0.0,0.1349,0
38,mp3_320,1,5506.9,1,0,0.0,1.0,4909.6,19724.4,4.0175,0.0,0.311146,0.190913,0.25664,0.0,0.1082,0
38,mp3_v0,1,5506.9,1,0,0.0,1.0,4909.6,19616.7,3.9956,0.0,0.311188,0.196154,0.26106,0.0,0.1103,0
39,authentic,0,6522.9,1,1,0.30531,0.5352,10443.6,10012.9,0.9588,0.5942,0.009335,0.007491,0.23602,100.0,0.1053,0
39,mp3_128,1,6522.9,1,1,0.305646,0.5348,9151.6,7385.9,0.8071,0.52009,0.01155,0.008612,0.2695,100.0,0.1411,0
39,mp3_320,1,6522.9,1,1,0.305431,0.5351,10206.7,9883.7,0.9684,0.58475,0.009655,0.00785,0.24364,100.0,0.1118,0
